query,intent
Submit my claim for travel,transactional
What are the company benefits for health?,informational
Apply for retirement benefits,transactional
What are the company benefits for dental?,informational
Request reimbursement for office supplies,transactional
What are the company benefits for dental?,informational
Request a work-from-home day on tomorrow,transactional
Can I request work-from-home under company policy?,informational
Change my phone number,transactional
Tell me about the HR policy on maternity leave,informational
Request a work-from-home day on tomorrow,transactional
What are the company benefits for health?,informational
File a request for reimbursement,transactional
What are the company benefits for retirement?,informational
File a request for leave approval,transactional
What is the policy for maternity leave?,informational
Apply for retirement benefits,transactional
How many medical days do I have left?,informational
Submit my claim for office supplies,transactional
What are the company benefits for retirement?,informational
Change my home address,transactional
Tell me about the HR policy on maternity leave,informational
Change my home address,transactional
How does overtime work?,informational
File a request for leave approval,transactional
How does salary deductions work?,informational
Update my email in the system,transactional
What is the policy for maternity leave?,informational
Apply for health benefits,transactional
What are the company benefits for health?,informational
Apply for dental benefits,transactional
Explain the process for leave application,informational
Request reimbursement for food,transactional
How does maternity leave work?,informational
Request a work-from-home day on Monday,transactional
Can I request work-from-home under company policy?,informational
Change my emergency contact,transactional
Tell me about the HR policy on maternity leave,informational
Request reimbursement for food,transactional
Tell me about the HR policy on overtime,informational
Apply for retirement benefits,transactional
What is the policy for salary deductions?,informational
Submit my claim for food,transactional
Can I request work-from-home under company policy?,informational
Change my phone number,transactional
What is the policy for overtime?,informational
Submit my claim for food,transactional
How many sick days do I have left?,informational
File a request for leave approval,transactional
How many medical days do I have left?,informational
Apply for casual leave on next week,transactional
Tell me about the HR policy on maternity leave,informational
Apply for dental benefits,transactional
What are the company benefits for retirement?,informational
Request a work-from-home day on next week,transactional
What are the company benefits for retirement?,informational
Update my bank account in the system,transactional
What are the company benefits for dental?,informational
Request a work-from-home day on March 5th,transactional
Explain the process for leave application,informational
Apply for dental benefits,transactional
How does salary deductions work?,informational
Change my phone number,transactional
How many annual days do I have left?,informational
Update my bank account in the system,transactional
What are the company benefits for health?,informational
Request a work-from-home day on Monday,transactional
Can I apply for leave under company policy?,informational
File a request for leave approval,transactional
What are the company benefits for dental?,informational
Request a work-from-home day on next week,transactional
How many sick days do I have left?,informational
Request reimbursement for food,transactional
Can I apply for leave under company policy?,informational
Request a work-from-home day on March 5th,transactional
How many medical days do I have left?,informational
Apply for medical leave on Monday,transactional
What are the company benefits for dental?,informational
Change my emergency contact,transactional
What is the policy for maternity leave?,informational
Submit my claim for office supplies,transactional
How many medical days do I have left?,informational
Apply for retirement benefits,transactional
Can I apply for leave under company policy?,informational
Request a work-from-home day on tomorrow,transactional
How does overtime work?,informational
Submit my claim for food,transactional
What are the company benefits for health?,informational
Submit my claim for office supplies,transactional
Can I apply for leave under company policy?,informational
Schedule a meeting with HR,transactional
What is the policy for maternity leave?,informational
Apply for health benefits,transactional
How many annual days do I have left?,informational
Change my emergency contact,transactional
Explain the process for leave application,informational
Submit my claim for food,transactional
Tell me about the HR policy on maternity leave,informational
Request reimbursement for office supplies,transactional
What are the company benefits for health?,informational
File a request for reimbursement,transactional
Tell me about the HR policy on salary deductions,informational
Schedule a meeting with HR,transactional
Tell me about the HR policy on salary deductions,informational
Request a work-from-home day on tomorrow,transactional
How many casual days do I have left?,informational
Submit my claim for food,transactional
Explain the process for resignation,informational
Apply for medical leave on Monday,transactional
Explain the process for resignation,informational
Submit my claim for office supplies,transactional
How does overtime work?,informational
Request reimbursement for office supplies,transactional
How many medical days do I have left?,informational
Change my emergency contact,transactional
Tell me about the HR policy on maternity leave,informational
Change my emergency contact,transactional
What are the company benefits for dental?,informational
File a request for leave approval,transactional
How many annual days do I have left?,informational
Update my bank account in the system,transactional
What are the company benefits for retirement?,informational
Update my address in the system,transactional
How many casual days do I have left?,informational
Update my address in the system,transactional
What are the company benefits for retirement?,informational
Request a work-from-home day on next week,transactional
What are the company benefits for retirement?,informational
Apply for health benefits,transactional
How does overtime work?,informational
Change my emergency contact,transactional
What is the policy for salary deductions?,informational
Submit my claim for food,transactional
Can I apply for leave under company policy?,informational
Apply for health benefits,transactional
What are the company benefits for dental?,informational
File a request for reimbursement,transactional
How does maternity leave work?,informational
Apply for annual leave on March 5th,transactional
Explain the process for performance review,informational
Request reimbursement for travel,transactional
How many medical days do I have left?,informational
Update my bank account in the system,transactional
How does maternity leave work?,informational
Schedule a meeting with HR,transactional
Tell me about the HR policy on salary deductions,informational
Schedule a meeting with HR,transactional
Can I apply for leave under company policy?,informational
Apply for retirement benefits,transactional
Can I request work-from-home under company policy?,informational
Request a work-from-home day on tomorrow,transactional
Can I request work-from-home under company policy?,informational
Apply for health benefits,transactional
Explain the process for resignation,informational
Request reimbursement for travel,transactional
How many casual days do I have left?,informational
File a request for leave approval,transactional
How does salary deductions work?,informational
Request a work-from-home day on March 5th,transactional
Tell me about the HR policy on overtime,informational
Submit my claim for office supplies,transactional
How many sick days do I have left?,informational
Change my home address,transactional
Explain the process for leave application,informational
Request reimbursement for office supplies,transactional
What is the policy for salary deductions?,informational
Request a work-from-home day on next week,transactional
How does overtime work?,informational
Update my bank account in the system,transactional
Explain the process for leave application,informational
Request a work-from-home day on March 5th,transactional
What are the company benefits for health?,informational
Request reimbursement for food,transactional
What are the company benefits for health?,informational
Request a work-from-home day on Monday,transactional
What are the company benefits for dental?,informational
File a request for reimbursement,transactional
Tell me about the HR policy on overtime,informational
Update my address in the system,transactional
